id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
24398,"NAPOLI,wondeful apartment to rent",14169118,Gigi,,San Carlo all'Arena,40.85714,14.25763,Entire home/apt,230,3,32,2018-11-30,0.26,7,90
30536, cosy room to let  in naples,14169118,Gigi,,San Lorenzo,40.85543,14.25812,Private room,35,2,17,2017-11-27,0.14,7,364
49051,Robby's House B&B -  Purple room -,223585,Roberto,,San Lorenzo,40.85156,14.26255,Private room,29,1,48,2016-08-21,0.41,5,365
51629,Robby's House B&B - Green room -,223585,Roberto,,San Lorenzo,40.85308,14.26167,Private room,29,1,48,2016-08-17,0.41,5,365
51630,Robby's House B&B - Pink room -,223585,Roberto,,San Lorenzo,40.85326,14.26149,Private room,29,2,36,2016-09-12,0.33,5,364
51631,Robby's House B&B -  Blu room -,223585,Roberto,,San Lorenzo,40.85294,14.26303,Private room,29,1,28,2016-08-21,0.24,5,365
51632,Robby's House B&B - Triple yellow -,223585,Roberto,,San Lorenzo,40.8532,14.26311,Private room,29,1,5,2017-05-28,0.04,5,365
63413,Charming Room on Riviera di Chiaia,309483,Paola,,Chiaia,40.83319,14.22613,Entire home/apt,60,2,59,2020-01-04,0.74,1,363
74364,Cozy place in a princely Palace inside Old Town,289412,Davide,,San Lorenzo,40.8512,14.25217,Entire home/apt,38,3,149,2020-03-08,1.36,8,356
76993,"Central Cebollitas B&B, spacious private ensuite.",411650,Cebollitas,,Vomero,40.84568,14.22618,Private room,34,2,10,2019-09-13,0.14,3,356
77009,"Central Cebollitas B&B Napoli,single/double room",411650,Cebollitas,,Vomero,40.84568,14.22618,Private room,25,3,95,2020-03-01,0.87,3,324
77010,"central Cebollitas B&B , large single/double",411650,Cebollitas,,Vomero,40.84568,14.22618,Private room,26,3,61,2020-03-07,0.86,3,355
107336,Panoramic Penthouse:Terrace wi-fi,556066,Maria,,San Ferdinando,40.83992,14.24613,Entire home/apt,45,2,463,2020-03-08,4.73,1,76
112346,Matrimonial room Hotel Zara  Naples,573482,Hotel Zara,,San Lorenzo,40.854,14.26913,Hotel room,45,1,19,2019-09-01,0.17,2,353
113520,Lovely apartment in Naples,494360,Vincenzo,,Mercato,40.84582,14.27526,Entire home/apt,33,1,99,2019-11-15,2.04,1,89
129087,Arbus Room in PrimoPiano Napoli B&B & Art Gallery,637380,Massimo E Antonio,,San Carlo all'Arena,40.85876,14.26108,Private room,45,2,156,2020-01-06,1.44,3,363
137587,Napoli Cardinal’s house Duomo centro storico,672635,Alessandro,,San Lorenzo,40.85361,14.25844,Entire home/apt,60,3,25,2020-03-01,1.04,1,365
157691,Friendly little house,757341,Sabrina & Valentina,,Pendino,40.84997,14.26052,Entire home/apt,32,2,232,2020-02-23,3.59,2,62
158928,Alloggio deluxe per vacanze a Napoli,762694,Melania,,San Lorenzo,40.85392,14.25673,Entire home/apt,150,1,8,2019-04-28,0.26,3,340
162072,Exclusive apt with centerfrontview,699926,Carlo,,San Giuseppe,40.84816,14.25409,Entire home/apt,85,2,54,2019-12-31,0.51,1,365
163695,DOUBLE ROOM IN THE HEART OF NAPOLI,781183,Maria,,San Giuseppe,40.84199,14.25234,Private room,30,3,214,2019-09-11,1.98,2,349
163929,nice seaview studio apts in center,808350,Giancarlo,,Porto,40.8402,14.25516,Entire home/apt,72,1,82,2019-05-05,0.78,6,364
167940,"""Le Mie Dimore"" in downtown Naples",800431,Gaia,,San Ferdinando,40.8361,14.24719,Entire home/apt,90,2,38,2019-05-31,0.37,2,344
169588,beautiful apartment centre wifi 6ps,808350,Giancarlo,,San Giuseppe,40.84509,14.25026,Entire home/apt,82,1,65,2019-10-16,0.62,6,365
170880,Pasolini Room - PrimoPiano B&B/art gallery,637380,Massimo E Antonio,,San Carlo all'Arena,40.85848,14.26011,Private room,45,2,246,2020-02-17,2.31,3,365
171677,Mapplethorpe room in PrimoPiano Napoli B&B,637380,Massimo E Antonio,,San Carlo all'Arena,40.85862,14.25964,Private room,42,2,105,2019-09-19,1.04,3,364
176475,Panoramic and charming house with terraces,843983,Licia,,Chiaia,40.83592,14.23648,Entire home/apt,130,1,231,2020-01-06,2.39,2,334
183077,Appartamento a Napoli con vista,877830,Davide,,Montecalvario,40.84626,14.24337,Entire home/apt,150,3,1,2011-12-28,0.01,2,365
185205,Cozy Room in the City Center - B&B Sant'Elmo Blu,888871,Annamaria,,San Lorenzo,40.85576,14.26332,Private room,50,1,64,2019-11-01,0.60,2,280
191679,MEDITERRANEAN LOFT WI-FI chiaia,927410,Luigi,,Chiaia,40.83486,14.22451,Entire home/apt,60,2,286,2020-03-01,2.73,2,340
191818,B&B Naples Chiaia close to metro Amedeo,928273,Federico,,Chiaia,40.83694,14.23259,Private room,45,1,345,2020-03-08,4.08,2,359
192478,Simple apartment in Naples center,932290,Peter,,Pendino,40.84735,14.25829,Entire home/apt,35,5,114,2020-01-09,1.11,1,28
