id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
18536,Cottage on our property,71321,Robin,,City of Johannesburg,-26.1809,28.07699,Entire home/apt,1231,1,0,,,1,364
18769,Tranquil Home- Johannesburg,72045,Firhana,,City of Johannesburg,-26.24933,28.00559,Private room,735,1,5,2019-04-30,0.04,1,365
18783,accomodation in Pretoria,72080,Chresos,,City of Tshwane,-25.80258,28.27173,Shared room,4210,20,0,,,1,0
18828,3 bedroom flat in the Orchards Pretoria,72240,Missy,,City of Tshwane,-25.74528,28.18725,Entire home/apt,1257,5,0,,,1,365
18839,Dream house for you,72245,Wilson,,City of Tshwane,-25.74704,28.18739,Private room,1469,1,0,,,4,364
18840,Dream house for you,72245,Wilson,,City of Tshwane,-25.74633,28.18615,Private room,1486,1,0,,,4,365
18841,Dream house for you,72245,Wilson,,City of Tshwane,-25.74709,28.18644,Private room,1470,30,0,,,4,365
18842,Stuning loung house,72245,Wilson,,City of Tshwane,-25.74657,28.18801,Private room,3674,1,0,,,4,365
18895,Stunning Modern House with Pool,72433,Janet,,Ekurhuleni,-26.19239,28.21851,Entire home/apt,17578,4,0,,,1,0
18944,World Cup 2010,72546,David,,City of Johannesburg,-26.02593,28.00455,Entire home/apt,7347,14,0,,,1,0
19012,FOOTBALL WORLD CUP HOUSE,72674,Frances,,Ekurhuleni,-26.42408,28.48463,Entire home/apt,2129,14,0,,,1,365
19017,3bed Home 4let world cup,72690,Francess,,Ekurhuleni,-26.42301,28.48392,Entire home/apt,2129,14,0,,,1,365
19084,Lovely Home for rent.,72870,Antoinette,,Rand West City,-26.15415,27.68737,Entire home/apt,29296,1,0,,,1,0
19145,accomodation avalable,73069,Derrick,,City of Johannesburg,-26.00112,27.99926,Entire home/apt,2204,5,1,2010-07-08,0.01,1,0
19259,World Cup - Upmarket Home,73419,Wendy,,City of Johannesburg,-26.09605,27.90547,Entire home/apt,11025,15,0,,,1,0
19272,Castle Sands,73440,Jaun,,City of Tshwane,-25.81335,28.26912,Private room,2939,5,0,,,1,365
19297,Luxury Apartment,73501,Clayton,,City of Johannesburg,-26.14322,27.91293,Entire home/apt,1029,10,0,,,1,0
19307,Room available throughout the year,73532,Guglah,,City of Johannesburg,-25.95199,28.12114,Shared room,669,2,0,,,1,0
19329,Historic Dwelling,73591,Hanlie,,City of Johannesburg,-26.24566,28.0402,Shared room,2196,7,0,,,1,365
19372,luxury appartment accom.,73738,Hans,,City of Johannesburg,-26.20581,28.03949,Entire home/apt,6243,1,0,,,1,365
19386,Private Room for 2,73773,Samantha,,Ekurhuleni,-26.25672,28.20164,Private room,1756,1,0,,,1,365
19403,Home base,73789,Lagebase,,City of Johannesburg,-26.11139,27.90529,Entire home/apt,1303,2,1,2013-10-27,0.01,1,365
19434,World Cup Soccer 2010,73857,Ziuta,,City of Tshwane,-25.84182,28.1591,Entire home/apt,3115,20,0,,,1,0
19443,rent for world cup 2010,73889,Ghadija,,City of Johannesburg,-26.20241,27.91812,Entire home/apt,22039,30,0,,,1,0
19813,Bacholour Flat,74865,Alan,,City of Johannesburg,-26.16831,27.97894,Entire home/apt,2204,15,0,,,1,365
19844,Luxury West Suite & Award Winning Spa,74932,Quint,,City of Tshwane,-25.77425,28.22049,Private room,982,1,3,2018-06-27,0.09,4,357
19927,Candelicous @ Villa,75235,Mary,,City of Tshwane,-25.86525,28.13539,Shared room,1543,14,0,,,1,1
19958,Mccabe's residence,75385,Lucinda,,City of Johannesburg,-26.29887,27.92156,Private room,470,1,2,2014-03-07,0.02,3,365
20007,Single room,75739,Nina,,City of Johannesburg,-26.17677,28.06981,Private room,437,1,1,2010-06-22,0.01,1,0
20016,Pretoria - Security Golf Estate,75772,Jannette,,City of Tshwane,-25.44453,28.53195,Private room,735,3,0,,,1,365
20131,FIFA WORLD CUP 2010 Pretoria,76184,David,,City of Tshwane,-25.76539,28.21377,Shared room,882,1,1,2010-06-24,0.01,1,2
20202,Mr Robert Venter,76387,Robert,,City of Johannesburg,-26.12262,27.86095,Entire home/apt,10246,1,0,,,1,0
20234,Fully Furnished 2 Bed Sandton JHB,76514,Jean,,City of Johannesburg,-26.00236,27.99868,Entire home/apt,895,1,15,2020-02-23,0.28,1,363
20241,FURNISHED ROOM IN PRIVATE,76534,Pen,,City of Johannesburg,-26.02489,27.95243,Private room,1244,1,0,,,1,0
20260,1 Bedroom Self-Catering in Fourways (2 sleeper),76542,Jean,,City of Johannesburg,-26.0013,28.00028,Entire home/apt,795,1,0,,,6,2
20372,Fourways 1 Bedroom Self-Catering (Sleep 2),76542,Jean,,City of Johannesburg,-26.0013,28.00028,Entire home/apt,795,1,0,,,6,365
20393,NEAR SOCCER CITY 2010,76940,Ash,,City of Johannesburg,-26.26498,28.00846,Private room,805,3,0,,,2,365
20421,Dream House for 2010!!!,77031,Paul,,City of Johannesburg,-26.26689,28.00248,Entire home/apt,12491,1,0,,,1,364
20493,"HAM,S NEST",77384,Hendrik,,City of Johannesburg,-26.1237,27.85953,Shared room,955,30,0,,,1,0
20508,WC 2010 Brand new unit in complex,77437,Niki,,City of Johannesburg,-26.17159,27.9126,Entire home/apt,1763,1,0,,,1,0
20601,Pretoria,77912,Elaine,,City of Tshwane,-25.79906,28.28325,Shared room,735,1,0,,,1,0
20610,Executive Apartment with a view,77911,Sipho,,City of Tshwane,-25.8581,28.18644,Private room,1756,1,0,,,1,0
20637,Cottage,78060,Chantal,,Ekurhuleni,-26.17945,28.18499,Entire home/apt,1616,1,0,,,1,365
20890,Annemarie Jacobsz,79332,Annemarie,,City of Tshwane,-25.89833,28.1571,Entire home/apt,1176,25,0,,,1,0
20975,2010 WORLD CUP ACCOMMODATION,79747,Eleanor,,City of Johannesburg,-26.19755,28.11467,Entire home/apt,2463,13,0,,,2,365
20976,2010 WORLD CUP ACCOMMODATION,79747,Eleanor,,City of Johannesburg,-26.19733,28.11385,Entire home/apt,2259,1,0,,,2,0
21012,Newly Build Unit,79874,Harry,,City of Johannesburg,-26.17057,27.90916,Entire home/apt,1758,15,0,,,1,0
21015,Lenie's Lodge,78268,Gary,,City of Tshwane,-25.73256,28.12813,Shared room,1455,1,0,,,1,365
21953,2 Bedroom 2 bathroom apart. Margate South Africa,84056,Bev,,City of Johannesburg,-26.12857,28.11272,Entire home/apt,4684,5,0,,,1,0
21955,African Gardens Apartments,84052,Chantel,,City of Johannesburg,-26.09204,28.13029,Entire home/apt,4684,1,0,,,1,0
22154,Home with a view,84864,Chris,,City of Johannesburg,-26.14026,27.96552,Shared room,2199,1,0,,,1,365
22406,Private room,86045,Juliet,,City of Johannesburg,-26.05335,28.00272,Private room,1464,1,0,,,1,0
22733,Family Room  Self Catering- R2500,87670,Umcabi  Holistic Lodge,,City of Johannesburg,-26.10683,27.99595,Private room,899,7,0,,,14,365
22749,"2 Bed house, sleeps 6 incl breakfas",87709,Ane,,City of Johannesburg,-26.17249,28.07736,Entire home/apt,916,10,0,,,1,0
22761,Self-catering,87745,Lauretta,,City of Johannesburg,-26.27947,27.96831,Private room,3976,1,0,,,1,0
22839,Thobiles place,88169,Thobile,,City of Johannesburg,-26.11185,27.90393,Entire home/apt,1308,1,0,,,1,364
23096,Walking distances from Monty Casino,89762,Shelagh,,City of Johannesburg,-26.02858,28.00227,Private room,2506,1,0,,,1,0
23099,An upmarket home in a secured compl,89773,Simon,,City of Johannesburg,-25.97345,28.05897,Entire home/apt,11710,30,0,,,1,365
23118,game farm,74186,Ruth,,City of Johannesburg,-26.10985,28.0529,Shared room,1121,1,0,,,1,365
23178,"Safe,friendly home with pool",90358,Keira,,Ekurhuleni,-26.28257,28.11185,Private room,1611,1,0,,,1,0
23247,Marloot Annex Bed & Breakfast,90741,Etienne,,City of Tshwane,-25.717,28.26131,Private room,1391,1,0,,,1,0
23968,Apartment in Sandton,95863,Loyiso,,City of Johannesburg,-26.09789,28.05209,Entire home/apt,950,1,219,2020-12-11,3.71,1,354
24238,Sooffah Guesthouse,97819,Fatima,,City of Johannesburg,-26.17579,27.92217,Private room,490,1,4,2019-04-16,0.08,2,364
24561,LUXURY Cultural Studio,99607,Retha,,City of Tshwane,-25.73995,28.5299,Private room,1069,1,0,,,2,365
24562,SELF CATERING UNITS 1 & 3,99607,Retha,,City of Tshwane,-25.76908,28.58963,Entire home/apt,3738,1,0,,,2,365
25061,"2km to Sandton City, luxury haven, leafy sanctuary",103187,Elna,,City of Johannesburg,-26.10208,28.02912,Entire home/apt,631,1,4,2019-06-20,0.09,7,363
25077,"2km to Sandton City, luxury haven, leafy sanctuary",103187,Elna,,City of Johannesburg,-26.10208,28.02912,Entire home/apt,850,1,18,2019-03-02,0.16,7,359
26347,SOCCER 2010 ACCOMMO - LOFTUS GAME,111476,Marti,,City of Tshwane,-25.78207,28.26025,Private room,1176,7,0,,,1,0
26477,McCabe residence,75385,Lucinda,,City of Johannesburg,-26.29774,27.92055,Private room,588,1,0,,,3,364
26549,Very nice apartment for rent,112691,Erico,,City of Johannesburg,-26.17139,27.94117,Private room,300,7,0,,,2,365
26591,Room and bathroom to rent,112691,Erico,,City of Johannesburg,-26.1734,27.94157,Private room,1102,1,0,,,2,0
26666,House to rent for soccer world cup,113432,Wendy,,City of Johannesburg,-26.13645,28.10532,Entire home/apt,6152,10,0,,,1,0
26897,Apartment to rent for  world cup,114807,Lizzy,,City of Johannesburg,-26.17316,27.94292,Entire home/apt,3716,1,0,,,1,365
26903,Fly Inn Farm - Prop & Pillow,114838,Joe,,City of Tshwane,-25.83262,28.27196,Private room,2792,2,0,,,5,365
26906,"Fly Inn Farm - ""Joe's Wing""",114838,Joe,,City of Tshwane,-25.83295,28.27217,Entire home/apt,5584,2,0,,,5,365
26911,Fly Inn Farm - One/Two Stop Cabins,114838,Joe,,City of Tshwane,-25.8323,28.2725,Entire home/apt,3968,2,0,,,5,1
26912,"Fly Inn Farm - ""Three Stop""",114838,Joe,,City of Tshwane,-25.83261,28.27257,Private room,1984,2,0,,,5,365
26913,"Fly Inn Farm - ""Four Stop"" Cabin",114838,Joe,,City of Tshwane,-25.83368,28.27405,Private room,985,2,0,,,5,0
27273,Modern 2 bedr; 2 bathr; very comfy,117022,Heather,,Ekurhuleni,-26.30985,28.10404,Private room,882,1,4,2010-10-16,0.03,1,365
27871,near gold reef city,76940,Ash,,City of Johannesburg,-26.2436,28.02475,Private room,1189,10,0,,,2,365
28154,Mccabes residence,75385,Lucinda,,City of Johannesburg,-26.29763,27.92194,Private room,595,1,0,,,3,0
28580,Hotel apartment- 1 Bed/1Bath-,123134,Khayelihle,,City of Johannesburg,-26.20933,28.03583,Private room,1317,10,0,,,1,0
28975,B&B on 8th Avenue - Giraffe Room,122521,Denise,,City of Johannesburg,-26.17257,28.01114,Private room,380,2,74,2020-11-01,0.58,4,320
28981,World Cup Accomm in Jhb South,124707,Tracey,,Ekurhuleni,-26.32845,28.0852,Private room,896,1,0,,,1,365
29266,Private garden Outside Braai,125835,Dries,,City of Tshwane,-25.74526,28.18722,Private room,2204,1,0,,,1,0
31449,JOHANNESBURG 10 SLEEPER LUXURY HOME,135065,Terry,,City of Johannesburg,-26.12164,28.0597,Entire home/apt,14491,14,0,,,4,338
31524,Roomy apartment in lovely gardens,135499,Ros,,City of Johannesburg,-26.11278,27.99209,Entire home/apt,199,5,14,2020-09-27,0.14,1,275
31691,Fa'Trez Guest House & Spa,136279,Fatima,,City of Tshwane,-25.78366,28.29859,Private room,720,1,3,2020-01-28,0.22,1,365
31809,Purple Olive Guest House,64744,Purple Olive,,City of Tshwane,-25.68772,28.20281,Private room,570,1,0,,,2,365
31972,Accommodation in Midrand Glen Austi,137694,Stengie,,City of Johannesburg,-25.97098,28.15315,Private room,2204,1,0,,,1,0
34522,DINOKENG - KwaThabisile Bush Retreat - Min22 guest,149119,Alexandra,,City of Tshwane,-25.51549,28.51048,Entire home/apt,10542,1,0,,,8,365
36659,"Highlands Place, Kensington, JHB.",157898,Shashi,,City of Johannesburg,-26.2013,28.09328,Entire home/apt,512,1,2,2014-01-04,0.02,1,365
50313,A home in the Heart of Africa.,929275,Ashley,,City of Johannesburg,-26.07341,28.02767,Private room,750,1,0,,,1,365
59521,"Suite 3, Shrublands Suites, Sandton",285832,Jeanne,,City of Johannesburg,-26.0953,28.04704,Entire home/apt,850,2,55,2020-03-04,0.52,3,172
65110,Kuse Khaya Guest House,318321,Mabotse,,Ekurhuleni,-26.25,28.25152,Shared room,450,1,1,2016-05-23,0.02,1,0
68474,Holistic Tropical Umcabi Lodge Johannesburg,87670,Umcabi  Holistic Lodge,,City of Johannesburg,-26.09596,27.99801,Private room,850,2,0,,,14,364
71863,Robin's Roost B&B Self Catering Cottage,369552,Lesley,,Mogale City,-25.99618,27.88921,Entire home/apt,500,1,1,2018-09-03,0.04,2,365
72316,Saffron Guest House,374524,Emil,,City of Johannesburg,-26.17525,28.00921,Private room,717,1,14,2020-11-22,0.14,5,2
74059,Bedroom in large 6 room house,388325,Eitan,,Ekurhuleni,-26.13837,28.14009,Private room,1172,1,0,,,1,0
74225,Orangerie Guest House -  Double Studio 9,389788,Elizabeth,,City of Johannesburg,-26.14489,27.97632,Private room,760,1,7,2020-11-15,0.08,9,337
85538,Amazing and affordable !,468561,Heleen,,City of Johannesburg,-26.05512,28.07059,Private room,850,1,10,2019-12-12,0.30,1,0
88144,Edenvale/JHB: Close to Johannesburg Airport,482418,Leona,,Ekurhuleni,-26.13952,28.14443,Private room,238,1,71,2020-11-15,1.19,2,358
98516,twin bed room,500549,Mike,,City of Johannesburg,-25.93024,28.07001,Private room,367,1,1,2015-07-01,0.01,1,0
126861,A Little Paradise Guest House,628883,Nano,,City of Johannesburg,-25.98883,28.07126,Entire home/apt,450,2,0,,,1,365
162281,Chic studio,775652,Marina,,City of Johannesburg,-26.14655,28.04015,Entire home/apt,500,2,91,2020-12-14,2.95,3,362
180360,"18 Plymouth Place, Executive Luxury in Khyber Rock",864097,Jenny,,City of Johannesburg,-26.0485,28.08402,Private room,1300,1,2,2018-06-17,0.03,5,364
185891,117 on Second in Sandton,573553,Heinrich,,City of Johannesburg,-26.10279,28.04033,Private room,1293,1,0,,,1,2
243532,Heart of Sandton Smudge Blue 1 Guest Cottage,861849,Renée,,City of Johannesburg,-26.09118,28.04529,Entire home/apt,757,2,25,2020-03-07,0.26,2,2
271146,Apartment in leafy upmarket suburb; 20Mbps WiFi,1332905,Peter,,City of Johannesburg,-26.14789,28.00462,Entire home/apt,550,3,95,2020-10-19,1.10,2,222
290363,A place to Meditate,1503177,Ladan,,City of Tshwane,-25.81073,28.28564,Private room,880,1,0,,,2,0
302100,2 Bedroom Self-Catering in Fourways (Sleep 4),76542,Jean,,City of Johannesburg,-26.00051,28.00117,Entire home/apt,1300,1,1,2017-09-15,0.02,6,365
318898,"Shrublands Cottage - Sandton, JHB",285832,Jeanne,,City of Johannesburg,-26.0953,28.04704,Entire home/apt,950,1,3,2017-08-13,0.06,3,105
492359,"Acacia House, Rivonia",2433590,Sally,,City of Johannesburg,-26.05732,28.06699,Private room,5000,1,1,2016-08-21,0.02,2,364
506720,Lux serviced en-suite rooms with daily breakfast,2498432,Monika,,Ekurhuleni,-26.15484,28.15408,Private room,771,1,2,2019-03-31,0.06,5,363
541634,"Homely Garden Cottage, Melville, ZA",178277,Grant,,City of Johannesburg,-26.17927,28.01139,Entire home/apt,595,2,212,2020-10-01,2.08,1,157
551797,Johannesburg Suites Guesthouse,374524,Emil,,City of Johannesburg,-26.17525,28.0088,Private room,813,1,1,2017-02-10,0.02,5,365
558515,3 Bedroom Self-Catering in Fourways (Sleep 6),76542,Jean,,City of Johannesburg,-26.00052,27.99966,Entire home/apt,1895,1,4,2020-01-10,0.10,6,337
558541,2 Bedroom Self-Catering  in Fourways (Sleep 5),76542,Jean,,City of Johannesburg,-26.0013,28.00028,Entire home/apt,1600,1,0,,,6,365
576315,Thatched Safari-Style with Pool,2835338,Louis,,City of Tshwane,-25.73218,28.25471,Entire home/apt,350,3,61,2020-12-25,0.60,2,64
594268,"The Haven,Paradise on the doorstep.",2931767,"Tracey,Robert And Anne",,City of Johannesburg,-26.12673,28.06151,Private room,750,1,102,2020-12-06,1.03,3,365
626701,Tranquil bliss-10km or less- Randburg & Surrounds,2613891,Sumari,,City of Johannesburg,-26.07156,27.94514,Entire home/apt,580,2,22,2020-11-01,0.32,1,365
631261,B&B on 8th Avenue - Hadeda Room,122521,Denise,,City of Johannesburg,-26.17377,28.01053,Private room,330,2,43,2020-12-24,0.43,4,339
702419,Beautiful house with heated pool,3605575,Chris,,City of Johannesburg,-26.02668,27.97294,Private room,588,1,0,,,1,365
714370,"Room One, Twickenham ( Luxury )",1127962,Linda,,City of Johannesburg,-26.18508,28.00825,Private room,800,1,0,,,16,90
725687,DINOKENG - KwaThabisile Bush Retreat - Antelope !,149119,Alexandra,,City of Tshwane,-25.5152,28.50946,Entire home/apt,1906,1,1,2018-04-30,0.03,8,365
725712,DINOKENG - KwaThabisile Bush Retreat - Bushbaby !,149119,Alexandra,,City of Tshwane,-25.51421,28.51102,Entire home/apt,1864,1,1,2019-09-15,0.06,8,363
725737,DINOKENG - KwaThabisile Bush Retreat - Chameleon !,149119,Alexandra,,City of Tshwane,-25.51562,28.51023,Entire home/apt,1756,1,0,,,8,365
725752,DINOKENG - KwaThabisile Bush Retreat - Duiker !,149119,Alexandra,,City of Tshwane,-25.51617,28.51027,Entire home/apt,958,1,10,2020-03-07,0.70,8,365
725772,DINOKENG - KwaThabisile Bush Retreat -Eland !,149119,Alexandra,,City of Tshwane,-25.51446,28.51042,Entire home/apt,1906,1,3,2019-12-29,0.21,8,1
725784,DINOKENG - KwaThabisile Bush Retreat - Flycatcher!,149119,Alexandra,,City of Tshwane,-25.40068,28.30624,Entire home/apt,958,1,5,2020-02-27,0.24,8,365
802923,Stunning 2 Bd/2.5 Bth Lux Apt in heart of Sandton,4225894,Milan,,City of Johannesburg,-26.10633,28.05415,Entire home/apt,2895,1,82,2019-12-31,1.24,2,2
837507,House near mid center Centurion,4376815,Pierre,,City of Tshwane,-25.85168,28.21661,Private room,735,1,0,,,1,365
839032,UPMARKET: The heart of Sandton S.A.,3227623,Rusty,,City of Johannesburg,-26.09185,28.01929,Entire home/apt,1400,5,0,,,2,365
866356,Palala Rhino Sanctuary Guest House,4551544,Selomie,,City of Tshwane,-25.76028,28.23745,Private room,845,1,0,,,1,0
870213,ZEBRA INN GUESTHOUSE,4585845,Mientjie,,City of Tshwane,-25.78185,28.31762,Private room,440,1,2,2018-02-14,0.03,1,364
889440,"Rosebank, Saxonwold: 2 bedrooms separate cottage",4719352,Newton,,City of Johannesburg,-26.15711,28.04371,Entire home/apt,775,1,93,2020-03-08,1.04,1,180
930331,Studio Apartment,5011085,Connie,,City of Tshwane,-25.7784,28.37025,Entire home/apt,800,3,7,2018-10-05,0.09,1,0
956114,Johannesburg's African Rose,3909585,Natasha,,Ekurhuleni,-26.13639,28.17776,Entire home/apt,1100,3,0,,,1,365
965354,Queen Suite with en-suite bathroom,2498432,Monika,,Ekurhuleni,-26.15481,28.15258,Private room,995,1,0,,,5,360
965368,Luxury Twin Suite in Guesthouse,2498432,Monika,,Ekurhuleni,-26.1563,28.1519,Private room,995,2,0,,,5,0
965392,Executive Suites serviced daily with Breakfast.,2498432,Monika,,Ekurhuleni,-26.15543,28.15397,Private room,1004,1,0,,,5,343
986066,Spacious private cottage in Sandton,5411067,Ed,,City of Johannesburg,-26.09326,28.03005,Entire home/apt,450,30,5,2016-06-18,0.06,1,358
986880,Penthouse LOFT (Urban Bliss),5415633,James,,City of Johannesburg,-26.18659,28.02056,Entire home/apt,1449,2,14,2015-11-25,0.15,1,365
993458,The Corner  House  - stand alone house,5457662,Helen,,City of Johannesburg,-26.1681,28.0207,Entire home/apt,900,2,18,2020-11-09,0.21,11,305
995602,"Remote Corner B&B , Parkview",5457662,Helen,,City of Johannesburg,-26.1678,28.02037,Private room,490,1,64,2020-02-27,0.75,11,365
1057247,Bushveld luxury in Pretoria,1608398,Annelize,,City of Tshwane,-25.64844,28.31548,Entire home/apt,1800,7,3,2015-01-24,0.04,1,365
1059013,Lovely home,5084134,At,,City of Tshwane,-25.67931,28.1423,Private room,4000,2,0,,,1,0
1113513,"2 bedroom, fully furnished Villa",6111416,Caj,,City of Johannesburg,-26.18669,28.00803,Entire home/apt,590,4,0,,,1,0
1158609,Your Luxury Apt in Melrose Arch,224616,Marco,,City of Johannesburg,-26.13189,28.06918,Entire home/apt,2800,5,66,2020-03-08,0.73,1,308
1232117,La frans guesthouse,6719338,Esther,,City of Tshwane,-25.66781,28.11478,Private room,600,1,1,2018-09-23,0.04,1,365
1273119,Breena BnB Guest House,6929358,Celeste,,Ekurhuleni,-26.13979,28.18887,Private room,650,1,3,2020-12-27,0.07,2,364
1273152,Breena BnB Guest House,6929358,Celeste,,Ekurhuleni,-26.13801,28.18935,Private room,650,1,2,2018-10-14,0.03,2,1
1320267,"Safe, Central & Beautiful",7168354,Lana,,City of Johannesburg,-26.11984,27.96332,Private room,705,1,2,2015-08-12,0.02,2,365
1359755,"Beautiful, Cental & Affordable",7168354,Lana,,City of Johannesburg,-26.11721,27.97672,Private room,514,1,1,2013-07-19,0.01,2,2
1366436,Luxury Room (Shower Only),7415351,Anette,,City of Tshwane,-25.75833,28.27519,Private room,1667,1,1,2018-03-14,0.03,2,364
1425111,Luxury and comfort in Randburg,7667401,Selma,,City of Johannesburg,-26.08649,27.94667,Private room,732,1,0,,,1,365
1486662,Heron Studio in Sandton. Self catering & secure.,7950994,Karen,,City of Johannesburg,-26.08667,28.04175,Entire home/apt,550,3,45,2020-11-30,1.12,2,365
1525018,Friends Accommodation Services,8136939,Tertius,,City of Tshwane,-25.76301,28.23522,Private room,350,2,4,2016-12-22,0.05,9,1
1547692,Central and Secure - Parktown North,8247402,Sherman,,City of Johannesburg,-26.14439,28.03414,Entire home/apt,495,6,38,2020-03-15,0.43,1,277
1553363,"Sunny, peaceful and convenient.",8272197,Oscar,,City of Johannesburg,-26.17079,28.02003,Entire home/apt,379,3,53,2020-08-08,0.61,2,346
1553677,Chic Rosebank Apartment,127469002,Luke,,City of Johannesburg,-26.14632,28.04016,Entire home/apt,951,7,15,2019-08-22,0.17,1,363
1560278,Cozy close to Magaliesberg mt.,8303327,Marius,,City of Tshwane,-25.69906,28.22765,Private room,500,1,0,,,1,0
1607403,Airy loft apartment in the heart of Maboneng,8562114,Lynetia & Andre,,City of Johannesburg,-26.2013,28.05792,Entire home/apt,350,2,134,2020-03-09,1.53,1,90
1640591,urban retreat - large cottage for quiet retreat,3206295,Sian,,City of Johannesburg,-26.17417,28.00895,Entire home/apt,585,2,29,2017-10-24,0.41,2,245
1643521,Rose Cottage and Le Jardin Cottage,8723666,Johandie,,City of Johannesburg,-26.16656,27.95842,Entire home/apt,800,1,0,,,1,0
1658424,Gorgeous Bedroom - Close to Airport,8789611,Tercia,,Ekurhuleni,-26.06378,28.22442,Private room,450,1,60,2021-01-03,11.84,1,0
1685248,Muse on Griessel Boksburg ORThambo & all highways,8909465,Jacqueline,,Ekurhuleni,-26.18095,28.27103,Entire home/apt,620,1,6,2019-06-24,0.10,3,365
1692388,Melvin Residence Guest House - Bedroom 1,2102352,Piet,,City of Tshwane,-25.74296,28.21711,Private room,1000,1,2,2015-10-07,0.02,4,1
1696678,Peaceful Valley Double room/patio,8960509,Carol,,City of Johannesburg,-26.05531,27.94047,Private room,400,1,18,2020-09-19,0.28,3,365
1701856,Peaceful Valley Family room,8960509,Carol,,City of Johannesburg,-26.05578,27.93868,Private room,400,1,21,2019-06-19,0.26,3,365
1745417,Penthouse Style Loft with Balcony & free Wifi❤️,9186794,Jan & Tarryn,,City of Johannesburg,-26.20514,28.06226,Entire home/apt,800,1,330,2020-11-28,4.16,5,0
1860607,40% off! 5min to Fourways Mall 15min to Lanseria,9706154,Karen,,City of Johannesburg,-25.99815,27.99635,Private room,170,5,15,2020-12-01,0.18,22,345
1870378,Chalets and apartments for rent.,9748201,Summerview,,City of Johannesburg,-26.05809,27.99518,Private room,760,1,15,2019-09-29,0.17,2,365
1884515,Muckleneuk Guest House -Couple room,9806263,Colin,,City of Tshwane,-25.76088,28.20264,Private room,900,1,2,2014-11-02,0.02,2,365
1891305,Country charm in the city,1383481,Thishen,,City of Johannesburg,-26.04617,28.10653,Private room,600,1,0,,,1,0
1910665,Robin's Retreat,9914344,Chris,,City of Johannesburg,-26.11617,27.99424,Entire home/apt,487,2,0,,,1,365
1910788,"VEGAN home, own space with FIBRE internet",9914835,Kim,,City of Johannesburg,-26.13474,28.00095,Entire home/apt,289,2,77,2019-11-03,0.89,2,245
2017826,Quiet studio with holiday feel,1945964,Etienne,,City of Johannesburg,-26.0881,27.99382,Entire home/apt,500,3,23,2019-12-24,0.34,8,88
2035890,room in period Johannesburg home,10441676,Grant,,City of Johannesburg,-26.19845,28.08213,Private room,390,1,1,2014-11-13,0.01,1,365
2051653,Luxury 2 Bedroom Home in Houghton,10513922,Aimee,,City of Johannesburg,-26.15266,28.0524,Entire home/apt,2000,2,4,2018-02-12,0.05,2,92
2052662,Hobbiton Hall - Luxury Apartment,10513922,Aimee,,City of Johannesburg,-26.15332,28.05414,Entire home/apt,1300,1,6,2017-10-06,0.08,2,157
2128608,Spacious Private Room,10859916,Elsa,,Ekurhuleni,-26.1609,28.27959,Private room,580,3,51,2018-09-29,0.62,3,0
2128659,Rose Villa,10859916,Elsa,,Ekurhuleni,-26.15766,28.2784,Entire home/apt,850,1,46,2019-05-17,0.57,3,90
2142316,The Nymphe Cottage,10933667,Andrea,,City of Johannesburg,-26.19528,28.10072,Entire home/apt,150,2,15,2020-11-28,0.24,1,2
2147475,Room with a Garden View.....,10961589,Deborah,,City of Johannesburg,-26.05216,27.96084,Private room,495,1,3,2017-03-23,0.05,1,365
2174279,Amongst the Trees,9982835,John,,City of Johannesburg,-26.15712,28.0069,Entire home/apt,704,1,162,2020-12-25,1.95,1,334
2175111,Double Rooms & Self Catering Apartments .,87670,Umcabi  Holistic Lodge,,City of Johannesburg,-26.09596,27.99801,Private room,750,2,0,,,14,90
2195320,Luxury Penthouse in Melrose Arch,11197263,Steven,,City of Johannesburg,-26.13156,28.0669,Entire home/apt,3999,5,1,2019-10-22,0.07,1,0
2199395,Furnished Private en-suite Room,11219920,Patshi,,City of Johannesburg,-26.10204,27.99657,Private room,399,1,0,,,3,365
2202214,Secure en-suite furnished Room,11219920,Patshi,,City of Johannesburg,-26.09096,27.99875,Private room,399,1,0,,,3,2
2232299,"Guest House in Randburg, Guateng",11219920,Patshi,,City of Johannesburg,-26.0913,27.99999,Private room,400,1,0,,,3,0
2259558,Paradise Haven,1033836,Daniel,,Ekurhuleni,-26.25818,28.25627,Private room,439,1,5,2018-05-19,0.06,1,365
2284046,(Bolanles Place)HOME AWAY FROM HOME,11666241,Kenneth W,,City of Johannesburg,-26.17936,28.01387,Entire home/apt,700,2,87,2020-04-05,1.04,1,0
2327760,Self Catering Aprtm- Lucille R1500.00pp. per night,87670,Umcabi  Holistic Lodge,,City of Johannesburg,-26.09056,27.99905,Shared room,1700,1,0,,,14,365
2327767,Self catering Apartment R1500 per night,87670,Umcabi  Holistic Lodge,,City of Johannesburg,-26.09596,27.99801,Private room,1500,2,0,,,14,365
2327918,Double Room - Rita R850.00 per night,87670,Umcabi  Holistic Lodge,,City of Johannesburg,-26.09132,27.99843,Private room,1800,2,1,2014-09-01,0.01,14,1
2328112,Spacious Self Catering Apartment .,87670,Umcabi  Holistic Lodge,,City of Johannesburg,-26.09596,27.99801,Private room,1800,1,0,,,14,365
