id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
14551,Cozy & Colorful by Nature (August full house),57237,Mun,,Girona,41.9965,2.83646,Private room,46,1,34,2020-03-03,0.28,1,364
35801,Can Torras Farmhouse Studio with magnificent views,153805,Karen,,Quart,41.95395,2.89703,Private room,90,2,58,2020-08-16,0.51,4,0
41342,Beachfront Tamariua (Costa Brava),180072,Marisa,,El Port de la Selva,42.34655,3.20463,Entire home/apt,120,7,9,2019-08-24,0.10,1,1
45398,Begur - House - Costa Brava,201228,Oscar,,Begur,41.95568,3.20892,Entire home/apt,94,1,213,2020-09-13,1.77,2,303
45400,Begur - Loft - Costa Brava - SPAIN,201228,Oscar,,Begur,41.95577,3.21096,Entire home/apt,68,1,292,2020-10-12,2.42,2,337
48764,18th C Stone House near Costa Brava,220145,Dick And Ann,,Torroella de Fluvià,42.17605,3.03974,Entire home/apt,120,7,26,2019-08-03,0.22,1,0
93343,Alquiler de casa en La Costa Brava cerca de playa,477826,Francisco,,L'Escala,42.10405,3.14936,Entire home/apt,173,2,0,,,2,85
101580,"Villa ZEN,big pool ,700m from beach & restaurants",532063,Xavier,,Lloret de Mar,41.70656,2.89015,Entire home/apt,550,5,21,2020-07-21,0.49,1,362
106704,Casa rural cerca de la playa,553059,Laura,,Llagostera,41.83631,2.937,Entire home/apt,224,2,16,2020-07-31,0.14,3,365
121666,Costa brava sun and becah,611063,Alicia,,Torroella de Montgrí,42.00877,3.18954,Entire home/apt,67,6,30,2020-10-12,0.34,1,346
122273,Hermosa casa cerca de la playa,553059,Laura,,Llagostera,41.84102,2.95118,Entire home/apt,75,2,21,2020-11-01,0.20,3,2
122371,"La torre del Capricorno: 150m2, Sea-& Mountainview",613396,Dolphi,,Pals,41.97454,3.17576,Entire home/apt,290,7,0,,,1,0
130159,"Floor comfortable  in Blanes,magnif",632158,Francisco,,Blanes,41.6657,2.78242,Entire home/apt,92,6,25,2018-12-26,0.22,1,363
154339,Casa Lloret y Mar • Holiday House rent near beach,2552,Barbara,,Lloret de Mar,41.7403,2.81844,Entire home/apt,100,4,4,2019-08-29,0.04,1,365
157327,House in Llofriu (Costa Brava),755634,Alvaro,,Forallac,41.94531,3.11247,Entire home/apt,600,7,1,2015-08-18,0.02,1,362
168832,Villa with pool - Emporda / Girona - HUTG-026514,804674,Jordi,,Saus,42.12516,2.93539,Entire home/apt,150,30,20,2020-08-15,0.90,1,0
179220,"Costa Brava, 50 m from beach 1",823626,"Pisos Costa Brava (A Family - Ana,",,Calonge,41.84794,3.10483,Entire home/apt,65,3,14,2019-08-24,0.13,7,42
197993,Cheap bedrooms in Blanes! (No kitchen!),965761,Laura,,Blanes,41.6772,2.787,Private room,22,2,42,2020-11-15,0.41,1,1
254100,Stone villa Costa Brava,1205693,Ester,,Ventalló,42.14737,3.02763,Entire home/apt,95,7,4,2017-08-26,0.05,1,365
262941,Penthouse in front of the sea-210M2,1379849,Macu,,Palafrugell,41.91841,3.21439,Entire home/apt,400,4,35,2020-08-30,0.39,1,2
265647,Canigó (Can Llobet)  PG-455,1393119,Xavi,,Capmany,42.37355,2.92054,Entire home/apt,144,7,18,2020-10-30,0.20,8,312
273037,cal ros,1428767,Joelle,,Palafrugell,41.91128,3.15674,Entire home/apt,80,2,68,2020-08-28,0.68,1,365
280968,Spend quiet vacation near the sea,1455476,Joe,,Palamós,41.85922,3.14773,Entire home/apt,69,2,58,2020-08-24,0.58,1,363
296563,"Costa Brava, 50 m beach - B1",823626,"Pisos Costa Brava (A Family - Ana,",,Calonge,41.84711,3.10563,Entire home/apt,72,3,2,2015-08-15,0.03,7,45
304363,"Bright, Riverside Apartment No 4 close to old town",153805,Karen,,Girona,41.99117,2.82355,Entire home/apt,80,2,69,2020-11-13,0.67,4,0
323402,"Swimming pool, sea view, 1200 m city center",1554685,Geny,,Lloret de Mar,41.71255,2.85571,Entire home/apt,390,3,1,2019-11-03,0.08,1,346
323679,Marina Costa Brava - view on canal,1552289,Julien,,Castelló d'Empúries,42.24698,3.1256,Entire home/apt,55,14,7,2018-08-18,0.07,1,365
336151,"Girona, Spain -Can Bici: Sleeps 4-5",1711073,Marty,,Girona,41.97304,2.83103,Entire home/apt,75,2,26,2019-10-06,0.38,1,365
336886,Apartamento con vistas al mar,1713639,Monica,,Lloret de Mar,41.71972,2.87587,Entire home/apt,100,5,7,2019-08-15,0.13,2,364
349360,Quiet apartment in Girona,725885,Oriol,,Girona,41.98876,2.83008,Entire home/apt,71,3,111,2020-11-01,1.09,1,1
359056,Casa rural  Empordà 7 people,1817196,Anna,,Torroella de Montgrí,42.07944,3.11781,Entire home/apt,150,2,8,2020-08-09,0.09,4,2
378198,BEAUTIFUL HOUSE Sea Views in TOSSA,1298586,Kristjan Y Ana,,Tossa de Mar,41.71809,2.92824,Entire home/apt,214,2,26,2020-07-19,0.28,114,34
384326,Between Girona and Costa Brava.,1924064,Emili,,Cassà de la Selva,41.88737,2.88054,Private room,41,1,32,2020-08-16,0.32,2,365
386468,Casa luminosa con jardin comunitario,860570,Paula,,Fontanals de Cerdanya,42.39768,1.92006,Entire home/apt,80,32,0,,,1,245
398377,CAMA EN UNA CASA DE LA COSTA BRAVA,1989406,Mari,,Begur,41.95506,3.20566,Private room,55,1,207,2020-08-19,1.99,2,272
398498,"Cap Bonifaci Vela, CanyellesPetites",1990392,Enric,,Roses,42.24432,3.1997,Entire home/apt,165,7,10,2020-08-31,0.10,2,173
